dataset,part,method,term,coef,ci_low,ci_high,pvalue,significant,is_linguistic
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),Intercept,-0.025097302918535305,-0.2064883788714892,0.1562937730344186,0.786251840455265,False,False
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),C(model_name)[T.BioBERT],-0.3411037145901899,-0.39787402022236973,-0.28433340895801007,5.163974094477734e-32,True,False
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),C(model_name)[T.BioMistral-7B],0.29252694911295873,0.2080853245207557,0.3769685737051618,1.1228410429321533e-11,True,False
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),C(model_name)[T.FLAN-T5-base],0.07662437308230306,-0.0010095534974111364,0.15425829966201726,0.053054560760360844,False,False
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),C(model_name)[T.Llama3-OpenBioLLM-8B],-3.9582194434277937,-4.160194652377732,-3.756244234477855,0.0,True,False
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),C(model_name)[T.Meta-Llama-3-8B-Instruct],-0.827829517067256,-0.903003299570635,-0.7526557345638771,2.56483637658029e-103,True,False
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),C(model_name)[T.Mistral-7B-Instruct-v0.1],-0.4181932970759746,-0.4929827816243821,-0.3434038125275671,5.9931220861690925e-28,True,False
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),C(model_name)[T.PubMedBERT],-0.39369015430833537,-0.44790106465768137,-0.3394792439589894,5.66552693969839e-46,True,False
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),mean_lexical_change_magnitude_z,0.048446578294651634,-701308155724366.5,701308155724366.5,0.9999999999999999,False,True
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),mention_char_len_z,0.6054131258833193,0.5479968807153139,0.6628293710513247,6.949087306374465e-95,True,True
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),mean_edit_distance_z,0.0484465782946477,-658012229167819.5,658012229167819.5,0.9999999999999999,False,True
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),n_accepted_perts_z,0.15250478742454546,0.11475078267841943,0.1902587921706715,2.430282976779699e-15,True,True
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),share_back_translation,-0.3093333337530443,-0.7326432863351151,0.1139766188290266,0.15207464301705093,False,True
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),share_controlled_paraphrase,-0.41343015837975383,-0.7327880840142325,-0.09407223274527515,0.011170982337011392,True,True
CADEC,logit_P_nonzero,GLM-Binomial + cluster-robust SE (cluster=instance_id); model_name as fixed effects (crossed RE not used — did not fit mixed logit),share_synonym_substitution,0.3717335348452843,0.28231897140388934,0.4611480982866793,3.6881475573620706e-16,True,True
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,Intercept,0.06728921818967643,-0.09889608623789586,0.23347452261724871,0.42742908023983295,False,False
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,C(model_name)[T.BioBERT],0.08870009454939158,0.036152909672176055,0.14124727942660711,0.0009381867253935092,True,False
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,C(model_name)[T.BioMistral-7B],-0.23818397590362445,-0.2803885324997052,-0.1959794193075437,1.9354381429691768e-28,True,False
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,C(model_name)[T.FLAN-T5-base],-0.2984167220955515,-0.3419703879288163,-0.25486305626228667,4.0840811364965185e-41,True,False
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,C(model_name)[T.Llama3-OpenBioLLM-8B],-0.5180262913263101,-0.6105334501120772,-0.42551913254054297,5.012444424112521e-28,True,False
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,C(model_name)[T.Meta-Llama-3-8B-Instruct],-0.09690658397595689,-0.15176362852747366,-0.04204953942444011,0.000535511999506026,True,False
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,C(model_name)[T.Mistral-7B-Instruct-v0.1],-0.3764140678742885,-0.4220211729616621,-0.3308069627869149,7.401640094997741e-59,True,False
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,C(model_name)[T.PubMedBERT],0.05719067022432023,0.0044077915011160665,0.1099735489475244,0.03370054136564044,True,False
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,mean_lexical_change_magnitude_z,0.02637895612084101,0.01548163191798072,0.0372762803237013,2.0907416705818798e-06,True,True
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,mention_char_len_z,0.053160093459200676,0.03606456285386579,0.07025562406453556,1.0965337060305552e-09,True,True
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,mean_edit_distance_z,0.026378956120840808,0.015481631917980576,0.03727628032370104,2.0907416705819874e-06,True,True
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,n_accepted_perts_z,-0.2062298203286716,-0.22509566357451213,-0.18736397708283106,7.792797511270836e-102,True,True
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,share_back_translation,-0.4402176789942115,-0.6070832227455856,-0.2733521352428374,2.3322523189270225e-07,True,True
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,share_controlled_paraphrase,-0.26972812092420834,-0.4547879517840301,-0.08466829006438656,0.004280922016895229,True,True
CADEC,magnitude_nonzero,OLS on logit(H) among H>0 + cluster-robust SE (cluster=instance_id); MixedLM did not converge / failed — fixed effects reported,share_synonym_substitution,0.18983223528241128,-0.026547468169449973,0.4062119387342725,0.08552383498661141,False,True
