instance_id,model_name,domain,pair,normalised_entropy,m_accepted,accuracy,mapping_confidence,dominant_cui,n_unassigned,m_distinct,normalised_entropy_dedup,semantic_entropy_dedup,dominant_cui_dedup,n_unassigned_dedup,n_duplicate_variants,retained_m_accepted,retained_m_distinct
cadec_ARTHROTEC.1_TT5,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,4,1,0.9999996423721313,C0003864,0,3,-0.0,-0.0,C0003864,0,1,True,True
cadec_ARTHROTEC.1_TT6,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,4,1,0.9999995231628418,C0521992,0,3,-0.0,-0.0,C0521992,0,1,True,True
cadec_ARTHROTEC.10_TT1,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,4,1,0.9999995827674866,C0019559,0,3,-0.0,-0.0,C0019559,0,1,True,True
cadec_ARTHROTEC.100_TT3,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,6,1,0.9999994039535522,C0038363,0,5,-0.0,-0.0,C0038363,0,1,True,True
cadec_ARTHROTEC.101_TT1,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,5,1,0.9999995827674866,C0013404,0,3,-0.0,-0.0,C0013404,0,2,True,True
cadec_ARTHROTEC.101_TT2,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,5,1,0.9999995827674866,C0011581,0,4,-0.0,-0.0,C0011581,0,1,True,True
cadec_ARTHROTEC.101_TT3,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,5,1,0.9999994039535522,C0026821,0,4,-0.0,-0.0,C0026821,0,1,True,True
cadec_ARTHROTEC.101_TT4,BERT-base,general,pair1_biobert_vs_bertbase,0.8277293767706428,4,0,0.9999985098838806,C3260385,0,3,1.0,2.0,C5552259,0,1,True,True
cadec_ARTHROTEC.103_TT2,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,4,0,0.9999995231628418,C1704754,0,3,-0.0,-0.0,C1704754,0,1,True,True
cadec_ARTHROTEC.103_TT3,BERT-base,general,pair1_biobert_vs_bertbase,0.7964530359382728,6,0,0.9999987483024597,C4264362,0,5,0.8710490642551529,2.251629167387823,C4264362,0,1,True,True
cadec_ARTHROTEC.103_TT4,BERT-base,general,pair1_biobert_vs_bertbase,0.6554587535412855,4,0,0.999998927116394,C2963996,0,3,0.75,1.5,C2963996,0,1,True,True
cadec_ARTHROTEC.103_TT5,BERT-base,general,pair1_biobert_vs_bertbase,0.6946795539074094,6,0,0.9999979734420776,C3843134,0,4,0.8277293767706428,1.9219280948873623,C3843134,0,2,True,True
cadec_ARTHROTEC.104_TT1,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,3,1,0.999999463558197,C0011991,0,3,-0.0,-0.0,C0011991,0,0,True,True
cadec_ARTHROTEC.104_TT2,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,6,1,0.9999995231628418,C0009806,0,4,-0.0,-0.0,C0009806,0,2,True,True
cadec_ARTHROTEC.104_TT3,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,5,1,0.9999995231628418,C0015672,0,3,-0.0,-0.0,C0015672,0,2,True,True
cadec_ARTHROTEC.104_TT6,BERT-base,general,pair1_biobert_vs_bertbase,0.4181656600790516,4,0,0.9999988675117493,C2964169,0,2,0.579380164285695,0.9182958340544896,C2964169,0,2,True,False
cadec_ARTHROTEC.104_TT7,BERT-base,general,pair1_biobert_vs_bertbase,0.6554587535412855,4,0,0.9999990463256836,C3508960,0,4,0.6554587535412855,1.5219280948873621,C3508960,0,0,True,True
cadec_ARTHROTEC.104_TT5,BERT-base,general,pair1_biobert_vs_bertbase,0.4181656600790516,4,0,0.9999990463256836,C3508960,0,4,0.4181656600790516,0.9709505944546686,C3508960,0,0,True,True
cadec_ARTHROTEC.104_TT4,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,4,1,0.9999997019767761,C0030193,0,4,-0.0,-0.0,C0030193,0,0,True,True
cadec_ARTHROTEC.105_TT1,BERT-base,general,pair1_biobert_vs_bertbase,0.21075809614719848,6,0,0.9999985694885254,C3482593,0,4,0.31091750708257115,0.7219280948873623,C3482593,0,2,True,True
cadec_ARTHROTEC.105_TT8,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,6,1,0.9999993443489075,C0151602,0,4,-0.0,-0.0,C0151602,0,2,True,True
cadec_ARTHROTEC.105_TT9,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,6,0,0.9999992251396179,C0241760,0,4,-0.0,-0.0,C0241760,0,2,True,True
cadec_ARTHROTEC.105_TT10,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,6,1,0.9999988675117493,C0000731,0,4,-0.0,-0.0,C0000731,0,2,True,True
cadec_ARTHROTEC.105_TT11,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,6,0,0.9999990463256836,C0749356,0,5,-0.0,-0.0,C0749356,0,1,True,True
cadec_ARTHROTEC.105_TT6,BERT-base,general,pair1_biobert_vs_bertbase,0.4181656600790516,4,0,0.9999994039535522,C5984742,0,3,0.4056390622295664,0.8112781244591328,C5984742,0,1,True,True
cadec_ARTHROTEC.106_TT3,BERT-base,general,pair1_biobert_vs_bertbase,0.4181656600790516,4,0,0.9999995231628418,C0030193,0,3,0.5,1.0,C1704754,0,1,True,True
cadec_ARTHROTEC.106_TT4,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,4,0,0.9999995231628418,C1704754,0,3,-0.0,-0.0,C1704754,0,1,True,True
cadec_ARTHROTEC.107_TT1,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,5,1,0.999999463558197,C0267596,0,4,-0.0,-0.0,C0267596,0,1,True,True
cadec_ARTHROTEC.107_TT2,BERT-base,general,pair1_biobert_vs_bertbase,0.75,3,0,0.9999991655349731,C3261851,0,2,1.0,1.584962500721156,C3261435,0,1,True,False
cadec_ARTHROTEC.108_TT1,BERT-base,general,pair1_biobert_vs_bertbase,0.1587603285713901,8,0,0.9999995231628418,C1704754,0,6,0.21075809614719848,0.5916727785823275,C1704754,0,2,True,True
cadec_ARTHROTEC.108_TT2,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,3,0,0.9999994039535522,C2129026,0,3,-0.0,-0.0,C2129026,0,0,True,True
cadec_ARTHROTEC.108_TT3,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,6,0,0.9999991655349731,C1142312,0,4,-0.0,-0.0,C1142312,0,2,True,True
cadec_ARTHROTEC.108_TT5,BERT-base,general,pair1_biobert_vs_bertbase,0.31091750708257115,4,1,0.9999993443489075,C0042024,0,3,0.4056390622295664,0.8112781244591328,C0042024,0,1,True,True
cadec_ARTHROTEC.109_TT4,BERT-base,general,pair1_biobert_vs_bertbase,0.43293164689846614,7,0,0.999997079372406,C4289305,0,5,0.5644754678724236,1.4591479170272448,C4289305,0,2,True,True
cadec_ARTHROTEC.109_TT3,BERT-base,general,pair1_biobert_vs_bertbase,0.5544923070581674,6,0,0.999997079372406,C4289305,0,4,0.6554587535412855,1.5219280948873621,C4289305,0,2,True,True
cadec_ARTHROTEC.11_TT2,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,5,1,0.9999997019767761,C0030193,0,4,-0.0,-0.0,C0030193,0,1,True,True
cadec_ARTHROTEC.110_TT1,BERT-base,general,pair1_biobert_vs_bertbase,-0.0,6,0,0.9999995231628418,C1704754,0,4,-0.0,-0.0,C1704754,0,2,True,True
